teochew_puj_flat,teochew_puj,teochew,mandarin,en
pai5 jit8,pâi-ji̍t,排日,天天,
pai5 ninn,pâi-niⁿ,排年,年年,
pai5 pi2,pâi-pí,排比,安排,
pai5 si5,pâi-sî,排時,常常,
pai5 tng2,pâi-tńg,排趟,常常,
pai5 tng2,pâi-tńg,排轉,常常,
pak ko kue2,pak-ko-kúe,剝糕粿,打劫,
pak nang5,pak-nâng,別人,,
pak phue5,pak-phûe,剝皮,剝皮,
pak poinn5,pak-pôiⁿ,北爿,北邊,
pak poinn5,pak-pôiⁿ,北畔,北邊,
pak8 tsun5,pa̍k-tsûn,縛船,綁船,
pan ko2,pan-kó,包裹,包裹,
pan5 gi5,pân-gî,便宜,便宜,
pan7 thau5,pān-thâu,辦頭,樣板,
pang to,pang-to,方刀,方刀,
pang toi,pang-toi,崩堤,崩堤,
pang2 kha liam5,páng-kha-liâm,綁骹臁,纏足,
pang2 kha liam5,páng-kha-liâm,綁腳臁,纏足,
pang3 ang3,pàng-àng,放血,放血,
pang3 chhin,pàng-chhin,放親,許配,
pang3 chie2,pàng--chié,放此塊,放這裏,
pang3 hue2,pàng-húe,放火,放火,
pang3 ke2,pàng-ké,放假,,
pang3 ke2,pàng-ké,放假,放假,
pang3 senn che3,pàng-seⁿ-chè,放生債,放債人,
pang3 senn siou3,pàng-seⁿ-siòu,放生數,放債人,
pang3 tiou3,pàng-tiòu,放掉,放掉,
pang5 sia3,pâng-sià,房舍,,
pat,pat,別,認識,
pat,pat,識,認識,
pat8 kiann2,pa̍t-kiáⁿ,菝囝,菝囝,
pau niann2,pau-niáⁿ,包領,包管,
pau tsak,pau-tsak,包紮,,
pe6 bo2,pẽ-bó,父母,父母,
peh senn3,peh-sèⁿ,百姓,百姓,
peh8 huan5,pe̍h-huân,白礬,明礬,
peh8 huat,pe̍h-huat,白發,野生,
peh8 in5,pe̍h-în,白鉛,鉛或鋅,
peh8 iu5,pe̍h-iû,白油,白油,
peh8 lah8,pe̍h-la̍h,白蜡,白蜡,
peh8 liou7 si,pe̍h-liōu-si,白鷺絲,白鷺絲,
peh8 nek8,pe̍h-ne̍k,白肉,肥肉,
peh8 ninn5,pe̍h-nîⁿ,白呢,白呢,
peh8 pou3,pe̍h-pòu,白布,白布,
peh8 tek tsua2,pe̍h-tek-tsuá,白竹紙,白竹紙,
peh8 thih,pe̍h-thih,白鐵,锡,
peh8 thih ap8,pe̍h-thih-a̍p,白鐵盒,锡盒,
peh8 thih kong2,pe̍h-thih-kóng,白鐵㼦,锡罐,
peh8 thng5,pe̍h-thn̂g,白糖,白糖,
peh8 tshai3,pe̍h-tshài,白菜,白菜,
peh8 ue7,pe̍h-ūe,白話,白話,
pek,pek,愊,生氣,
pek,pek,煏,烤,
pek chhek,pek-chhek,偪側,易怒,
pek kurn6,pek-kṳ̃n,薄近,,
peng6 chhia2,pẽng-chhiá,並且,,
peng6 chiu,pẽng-chiu,幷州,,
peng6 chiu,pẽng-chiu,并州,,
peng6 lip8,pẽng-li̍p,並立,,
penn5 ienn7,pêⁿ-iēⁿ,平樣,一樣,
penn5 tann,pêⁿ-taⁿ,平擔,扁擔,
penn7 zu2,pēⁿ-zú,病癒,,
pha teng3,pha-tèng,拋椗,拋錨,
phah chheng3,phah-chhèng,拍銃,放槍,
phah chheng3,phah-chhèng,打銃,放槍,
phah chih,phah-chih,拍折,,
phah chih,phah-chih,打折,,
phah ham5 lam5 sut8,phah-hâm-lâm-su̍t,拍銜瓏術,旋轉陀螺,
phah ham5 lam5 sut8,phah-hâm-lâm-su̍t,打銜瓏術,旋轉陀螺,
phah ka khi3,phah-ka-khì,拍咳氣,打噴嚏,
phah ka khi3,phah-ka-khì,打咳氣,打噴嚏,
phah khang,phah-khang,拍空,經紀人,
phah khang,phah-khang,打空,經紀人,
phah kiap,phah-kiap,拍劫,打劫,
phah kiap,phah-kiap,打劫,打劫,
phah kuann si,phah-kuaⁿ-si,拍官司,打官司,
phah kuann si,phah-kuaⁿ-si,打官司,打官司,
phah lah8,phah-la̍h,拍獵,打獵,
phah lah8,phah-la̍h,打獵,打獵,
phah nang5,phah-nâng,拍儂,打人,
phah nang5,phah-nâng,打人,打人,
phah oh,phah-oh,拍呃,打嗝,
phah oh,phah-oh,打呃,打嗝,
phah phok,phah-phok,拍撲,鼓掌,
phah phok,phah-phok,打撲,鼓掌,
phah phou3,phah-phòu,拍舖,拍舖,
phah phou3,phah-phòu,打舖,拍舖,
phah piann3,phah-piàⁿ,拍拚,,
phah piann3,phah-piàⁿ,打拚,,
phah sng3,phah-sǹg,拍算,打算,
phah sng3,phah-sǹg,打算,打算,
phah thih,phah-thih,拍鐵,打鐵,
phah thih,phah-thih,打鐵,打鐵,
phah to2,phah-tó,拍倒,,
phah to2,phah-tó,打倒,,
phah to2,phah-tó,拍倒,打倒,
phah to2,phah-tó,打倒,打倒,
phah tsua2 pai5,phah-tsuá-pâi,拍紙牌,打牌,
phah tsua2 pai5,phah-tsuá-pâi,打紙牌,打牌,
phai2 kiann2,phái-kiáⁿ,痞囝,痞子,
phang,phang,芳,香,
phang hieh8,phang-hie̍h,芳葉,香葉,
phang siu7,phang-siū,蜂岫,蜂巢,
phang tshai3,phang-tshài,芳菜,芳菜,
phang tsui2,phang-tsúi,芳水,香水,
phang5 huang5,phâng-huâng,彷徨,,
phang5 kuang,phâng-kuang,膀胱,,
phang5 phai3,phâng-phài,滂沛,豐盛,
phang5 phai3,phâng-phài,霶霈,豐盛,
phang5 poh8,phâng-po̍h,磅礴,,
phang5 pou3,phâng-pòu,帆布,帆布,
phann3 tsha5,phàⁿ-tshâ,冇柴,輕木,
phau3 thai5,phàu-thâi,炮臺,炮臺,
phau3 than5,phàu-thân,砲彈,,
phau6 ham6,phãu-hãm,抱憾,抱憾,
phau6 put pheng5,phãu-put-phêng,抱不平,,
phau6 put pheng5,phãu-put-phêng,抱不平,抱不平,
pheng tshou3,pheng-tshòu,拼湊,,
pheng5 an,phêng-an,平安,,
pheng5 an,phêng-an,平安,平安,
pheng5 hua5,phêng-huâ,平和,和平,
pheng5 iu2,phêng-iú,朋友,朋友,
pheng5 ke3,phêng-kè,平價,平價,
pheng5 sienn5,phêng-siêⁿ,平常,平常,
pheng5 tiau3,phêng-tiàu,憑弔,,
pheng5 tuann,phêng-tuaⁿ,憑單,證書,
phenn phah,pheⁿ-phah,斟酌,斟酌,
phi3 sienn3,phì-sièⁿ,譬相,數落,
phian kou,phian-kou,偏枯,半身不遂,
phian kou,phian-kou,㾫枯,半身不遂,
phiann li5,phiaⁿ-lî,𩩍籬,脇骨,
phiann li5 kut,phiaⁿ-lî-kut,𩩍籬骨,脇骨,
phiann3 kim,phiàⁿ-kim,聘金,聘金,
phiau ti3,phiau-tì,標緻,,
phiau tsun2,phiau-tsún,標準,,
phien chiu,phien-chiu,扁舟,,
phien3 nang5,phièn-nâng,騙儂,騙人,
phien3 nang5,phièn-nâng,騙人,騙人,
phien3 nang5 kiann,phièn-nâng-kiaⁿ,騙儂驚,嚇人,
phien3 nang5 kiann,phièn-nâng-kiaⁿ,騙人驚,嚇人,
phin5 tiou3,phîn-tiòu,摒掉,丟掉,
phinn7,phīⁿ,𣴨,鼻涕,
phinn7 hun,phīⁿ-hun,鼻薰,鼻菸,
phinn7 khang,phīⁿ-khang,鼻空,鼻孔,
phit phue3,phit-phùe,匹配,,
phit phue3,phit-phùe,匹配,匹配,
phiu3 chhiu2,phiù-chhiú,失手,失手,
phoh thau5,phoh-thâu,劈頭,斬頭,
phoi kuan2,phoi-kuán,批館,郵局,
phoi phue5,phoi-phûe,批皮,信封,
phoi sin3,phoi-sìn,批信,信件,
phoi tann,phoi-taⁿ,批擔,擔子,
phoinn7 sur7,phōiⁿ-sṳ̄,辦事,辦事,
phok chhiu7,phok-chhiū,朴樹,,
phok pha6,phok-phã,起泡,起泡,
phok phi2,phok-phí,凸疕,結痂,
phok su3,phok-sù,樸素,,
phong3,phòng,肨,脹,
phong3 phie6,phòng-phiẽ,碰鰾,爆竹,
phou chieh8,phou-chie̍h,鋪石,鋪石,
phou lou7,phou-lōu,鋪路,,
phou tin5,phou-tîn,鋪陳,,
phou tin5,phou-tîn,鋪陳,鋪蓋,
phou2 thinn e6,phóu-thiⁿ-ẽ,普天下,普天下,
phou2 thinn kha e6,phóu-thiⁿ-kha-ẽ,普天踋下,普天下,
phou3 kuinn7,phòu-kūiⁿ,舖櫃,櫃檯,
phou3 lou7,phòu-lōu,鋪路,鋪路,
phou3 min7,phòu-mīn,舖面,,
phou3 thau5,phòu-thâu,舖頭,店舖,
phou6 kiann2,phõu-kiáⁿ,簿囝,本子,
phu5 khi2 lai5,phû--khí-lâi,浮起來,浮起來,
phu5 khua,phû-khua,浮誇,,
phu5 tho5,phû-thô,萄葡,萄葡,
phu5 tho5 kuann,phû-thô-kuaⁿ,葡萄干,葡萄干,
phu5 tim5,phû-tîm,浮沈,,
phu5 tua7 huang,phû-tuā-huang,浮大風,起大風,
phua3 chinn5,phuà-chîⁿ,破錢,破費,
phua3 ke kiann2,phuà-ke-kiáⁿ,破家囝,敗家子,
phua3 kiann3,phuà-kiàⁿ,破鏡,破鏡,
phua3 penn7,phuà-pēⁿ,破病,生病,
phua3 pou3,phuà-pòu,破布,破布,
phua3 sienn3,phuà-sièⁿ,破相,畸形,
phua3 tiou3,phuà-tiòu,破掉,破掉,
phua3 tshui3 tshui3,phuà-tshùi-tshùi,破碎碎,破碎,
phuan5 pinn,phuân-piⁿ,絆鞭,絆鞭,
phue5 sienn,phûe-sieⁿ,皮箱,皮箱,
phue6 chhieh8,phũe-chhie̍h,被席,,
phueh8 kou2,phu̍eh-kóu,詖古,談古,
phueh8 oinn5 ue7,phu̍eh-ôiⁿ-ūe,詖閒話,說閒話,
phueh8 ue7,phu̍eh-ūe,詖話,聊天,
phui3 nuann6,phùi-nuãⁿ,噴涏,吐痰,
phun,phun,潘,泔水,
pi muann5 iu5,pi-muâⁿ-iû,卑麻油,卑麻油,
pi2 chiann3,pí-chiàⁿ,比正,瞄準,
pi2 ho2,pí-hó,比好,瞄準,
pi2 zu6,pí-zũ,比如,比如,
pi3 iu6,pì-iũ,庇佑,保佑,
pi3 kai5 sann pau,pì kâi saⁿ-pau,揹个衫包,,
pi3 pau,pì-pau,背包,,
pi5 pe5,pî-pê,枇杷,枇杷,
pi5 pe5,pî-pê,琵琶,琵琶,
pi6 ko3,pĩ-kò,被告,,
pi6 ko3,pĩ-kò,被告,被告,
piang3 tiou3,piàng-tiòu,爆掉,爆掉,
piann sng,piaⁿ-sng,冰霜,冰霜,
piann thng5,piaⁿ-thn̂g,冰糖,冰糖,
piann2 ieh8,piáⁿ-ie̍h,餅藥,(中國)肥皂,
piann2 kuaⁿ,piáⁿ-kuaⁿ,餅乾,,
piann3 miann7,piàⁿ-miāⁿ,拚命,,
piau2 si7,piáu-sī,表示,,
pie2 che2 muenn7,pié-ché-mūeⁿ,表姐妹,表姐妹,
pie2 chi2 muenn7,pié-chí-mūeⁿ,表姊妹,表姊妹,
pie2 hiann,pié-hiaⁿ,表兄,,
pie2 hiann ti6,pié-hiaⁿ-tĩ,表兄弟,表兄弟,
pie3 chek,piè-chek,表叔,表叔,
pie3 peh,piè-peh,表伯,表伯,
pie3 peh8,piè-pe̍h,漂白,漂白,
pien chheh,pien-chheh,鞭策,,
pien2 tann,pién-taⁿ,扁擔,,
pien2 tann,pién-taⁿ,扁担,,
pien3 hue3,pièn-hùe,變化,,
pien6 li6,piẽn-lĩ,便利,,
pien6 lun6,piẽn-lũn,辯論,辯論,
pien6 poh,piẽn-poh,辯駁,辯駁,
pik lih8,pik-li̍h,𤷗裂,龜裂,
pin tng3,pin-tǹg,摒擋,嘲笑,
pin2 sienn5,pín-siêⁿ,品嘗,,
pin2 sienn5,pín-siêⁿ,品嚐,,
pin2 tng3,pín-tǹg,摒擋,,
pinn3 min7,pìⁿ mīn,變面,,
pinn6 pinn,pĩⁿ piⁿ,辮辮,,
piou2 meng5,pióu-mêng,表明,表明,
pit ke3,pit-kè,筆架,筆架,
pit kuann,pit-kuaⁿ,筆桿,,
pit su,pit-su,必須,,
png2 chinn5,pńg-chîⁿ,本錢,本金,
png2 hun7,pńg-hūn,本分,義務,
png2 lai5,pńg-lâi,本來,本來,
png2 ti7 nang5,pńg-tī-nâng,本地儂,本地人,
png2 ti7 nang5,pńg-tī-nâng,本地人,本地人,
png7 khiu7,pn̄g-khiū,飯硬,,
png7 liap8,pn̄g-lia̍p,飯粒,飯粒,
png7 thuan5,pn̄g-thuân,飯糰,,
png7 tshng5,pn̄g-tshn̂g,飯床,飯桌,
png7 tshng5,pn̄g-tshn̂g,飯牀,飯桌,
po li5,po-lî,玻璃,玻璃,
po li5 khi3,po-lî-khì,玻璃器,玻璃器,
po li5 pue,po-lî-pue,玻璃杯,玻璃杯,
po li5 tsun,po-lî-tsun,玻璃樽,玻璃瓶,
po2 ho7,pó-hō,保護,,
po2 ho7,pó-hō,保護,保佑,
po2 hu6,pó-hũ,保護,,
po2 iu6,pó-iũ,保佑,保佑,
po2 ke,pó-ke,保家,保險,
po2 ke ji7,pó-ke-jī,保家字,保險單,
po2 ke kuan2,pó-ke-kuán,保家館,保險公司,
po2 niann2,pó-niáⁿ,保領,保證,
po2 pue3,pó-pùe,寶貝,寶貝,
po2 tsang6,pó-tsãng,寶藏,,
po3 chhiu5,pò-chhiû,報仇,報仇,
po3 hiang3 tuann,pò-hiàng-tuaⁿ,報餉單,載貨清單,
po3 tsai,pò-tsai,報知,告知,
po5 ho3,pô-hò,薄荷,,
po5 ho3,pô-hò,薄荷,薄荷,
po5 ho3 iu5,pô-hò-iû,薄荷油,薄荷油,
poh8,po̍h,薄,(液體味道)淡,
poinn2 lin3 tng2,póiⁿ-lìn-tńg,反輪轉,反轉,
pok khue3,pok-khùe,卜卦,,
pou thau,pou-thau,埠頭,城鎮,
pou2 hoinn5,póu-hôiⁿ,補還,補還,
pou2 ieh8,póu-ie̍h,補藥,補藥,
pou2 oi5,póu-ôi,補鞋,補鞋,
pou2 thau2,póu-tháu,斧頭,斧頭,
pou3 chhieh,pòu-chhieh,布尺,布尺,
pou3 chhui3,pòu-chhùi,布碎,抹布,
pou3 liau7,pòu-liāu,布料,,
pou3 lou7,pòu-lōu,布路,布匹,
pou3 phang5,pòu-phâng,布帆,布帆,
pou3 phit,pòu-phit,布疋,,
pou3 phit,pòu-phit,布疋,布匹,
pou3 ti3,pòu-tì,佈置,,
pou3 to7,pòu-tō,布袋,布袋,
pou7,pōu,哺,咀嚼,
pu5 chiah8,pû-chia̍h,煲食,做飯,
pu5 hia,pû-hia,匏桸,水瓢,
pu5 hia,pû-hia,瓠𣟵,水瓢,
pu5 lok lok,pû-lok-lok,煲爛爛,,
pu6 cheng2,pũ-chéng,胕腫,浮腫,
pu6 iok8,pũ-io̍k,哺育,,
pu6 lang5,pũ-lâng,生膿,長膿,
pu7 koi kiann2,pū-koi-kiáⁿ,孵雞囝,孵小雞,
pu7 nng6,pū-nñg,孵卵,,
pua3 ki,puà-ki,簸箕,簸箕,
pua3 sienn3,puà-sièⁿ,破相,毀容,
puah8 chinn5,pua̍h-chîⁿ,跋錢,賭錢,
puah8 kiou2,pua̍h-kióu,跋筊,賭博,
puah8 pue,pua̍h-pue,拔杯,占卜,
puah8 tau2,pua̍h-táu,拔斗,汲斗,
puah8 thang2,pua̍h-tháng,拔桶,汲桶,
puah8 tsua2 pai5,pua̍h-tsuá-pâi,跋紙牌,打牌,
puan6 huan2,puãn-huán,叛反,反叛,
puan6 ngek8,puãn-nge̍k,叛逆,叛逆,
puann3 kenn3,puàⁿ-kèⁿ,半徑,,
puann3 menn5,puàⁿ-mêⁿ,半夜,半夜,
puann3 menn5,puàⁿ-mêⁿ,半暝,半夜,
puann3 thinn,puàⁿ-thiⁿ,半天,半天,
puann5 kiann2,puâⁿ-kiáⁿ,盤囝,碟子,
puann5 siou3,puâⁿ-siòu,盤數,轉賬,
puann5 uann2,puâⁿ-uáⁿ,盤碗,盤子,
puat8 siap8,pua̍t-sia̍p,跋涉,,
pue3 song6,pùe-sõng,背誦,,
pue5 hoinn5,pûe-hôiⁿ,賠還,賠還,
pun khui,pun-khui,分開,分開,
pun ua2 thoinn2,pun-uá-thóiⁿ,分我睇,給我看,
pun ua2 thoinn2,pun-uá-thóiⁿ,分我看,給我看,
pun2 niann2,pún-niáⁿ,本領,本領,
pun2 sur6,pún-sṳ̃,本事,本事,
pun2 teng2,pún-téng,本等,本分,
pun3 ki,pùn-ki,糞箕,簸箕,
pun3 pe5,pùn-pê,糞耙,糞耙,
pun3 tau2,pùn-táu,糞斗,簸箕,
pun5 hi hu5,pûn-hi-hû,歕唏噓,吹口哨,
pun5 huang,pûn-huang,歕風,吹風,
pun5 kue3,pûn-kùe,歕過,吹過,
pun5 pi,pûn-pi,歕嗶,吹口哨,
put chi2,put-chí,不止,不止,
put hau3,put-hàu,不孝,不孝,
put kue3,put-kùe,不過,不過,
put lau5 zur5 uak8,put-lâu-zṳ̂-ua̍k,不勞而獲,,
put leng5,put-lêng,不能,不能,
put lun6,put-lũn,不論,不論,
sah8,sa̍h,煠,水煮,
sah8 chiu2,sa̍h-chiú,煠酒,燒酒,
sai e6,sai-ẽ,私下,私下,
sai gu5,sai-gû,犀牛,犀牛,
sai khia,sai-khia,私家,,
sai khia,sai-khia,私家,私人,
sai khia chinn5,sai-khia-chîⁿ,私家錢,私房錢,
sai kok tsua2,sai-kok-tsuá,西國紙,西國紙,
sai kong,sai-kong,司公,道士,
sai pe6,sai-pẽ,司阜,師傅,
sai poinn5,sai-pôiⁿ,西爿,西邊,
sai poinn5,sai-pôiⁿ,西畔,西邊,
sai sim,sai-sim,私心,私心,
sai sur7,sai-sṳ̄,私事,私事,
sai2 chinn5,sái-chîⁿ,使錢,花錢,
sai2 eng7,sái-ēng,使用,行賄,
sai2 gu5,sái-gû,使牛,趕牛,
sai2 iu5,sái-iû,使油,上漆,
sai2 kau,sái-kau,屎溝,下水道,
sai2 puah,sái-puah,屎鉢,屎盆,
sai5 kau2,sâi-káu,豺狗,,
sai7 piann2,sāi-piáⁿ,杮餅,杮餅,
sam pai5,sam-pâi,杉牌,竹排,
sam pan2,sam-pán,舢板,,
san hu5,san-hû,珊瑚,珊瑚,
san2,sán,㾪,瘦,
san2 kut lak8 nek8,sán-kut-la̍k-ne̍k,㾪骨落肉,瘦骨嶙峋,
sang senn,sang-seⁿ,雙生,雙生,
sang3 phiann3,sàng-phiàⁿ,送聘,送聘,
sang3 sng,sàng-sng,送喪,送殯,
sann gueh8,saⁿ-gu̍eh,三月,三月,
sann kak,saⁿ-kak,三角,三角,
sann kenn,saⁿ-keⁿ,三更,三更,
sann kenn puann3 menn5,saⁿ-keⁿ puàⁿ-mêⁿ,三更半夜,三更半夜,
sann kenn puann3 menn5,saⁿ-keⁿ puàⁿ-mêⁿ,三更半暝,三更半夜,
sann khou3,saⁿ-khòu,衫褲,衣服,
sann kur,saⁿ-kṳ,衫裾,衣襟,
sann li2,saⁿ-lí,三里,三里,
sann ng2,saⁿ-ńg,衫䘼,衣袖,
sann senn,saⁿ-seⁿ,三牲,三牲,
sann siann5,saⁿ siâⁿ,三成,,
sann tiou3,saⁿ-tiòu,衫吊,衣吊,
sann to7,saⁿ-tō,衫袋,衣袋,
sat pin3,sat-pìn,虱箆,梳子,
sau kuan2,sau-kuán,騷館,妓院,
sau3 hue tsui2,sàu-hue-tsúi,掃灰水,粉刷,
sau3 siu2,sàu-siú,掃帚,掃帚,
sau3 soi chhenn,sàu-soi-chheⁿ,掃帚星,彗星,
sau3 tang6,sàu-tãng,掃蕩,,
se su kiann2,se-su-kiáⁿ,些須囝,一點兒,
sek i5,sek-î,適意,樂意,
sek liou7,sek-liōu,色料,色料,
sek tang3,sek-tàng,適當,,
sek tiou3,sek-tiòu,擲掉,扔掉,
sek tsui2,sek-tsúi,色水,色水,
seng khip,seng-khip,升級,,
seng ki5,seng-kî,升旗,升旗,
seng li2,seng-lí,生理,生意,
seng li2 nang5,seng-lí-nâng,生理儂,生意人,
seng li2 nang5,seng-lí-nâng,生理人,生意人,
seng3 tng5,sèng-tn̂g,聖堂,聖堂,
seng5 chhiu7,sêng-chhiū,松樹,,
seng5 chhiu7,sêng-chhiū,榕樹,榕樹,
seng5 hienn,sêng-hieⁿ,松香,松香,
seng5 huap,sêng-huap,乘法,,
seng5 jin7,sêng-jīn,承認,,
seng5 kong,sêng-kong,成功,,
seng5 sit8,sêng-si̍t,誠實,誠實,
seng6 ki,sẽng-ki,乘機,,
senn huang,seⁿ-huang,生瘋,風濕,
senn jit8,seⁿ-ji̍t,生日,生日,
senn kiann bo2,seⁿ-kiaⁿ-bó,生囝母,助產士,
senn kiann2,seⁿ-kiáⁿ,生囝,生孩子,
senn mueh8,seⁿ-mu̍eh,生物,生物,
senn san,seⁿ-san,生鉎,生鏽,
senn seng5,seⁿ-sêng,生成,生成,
senn sur7,seⁿ-sṳ̄,生事,惹事,
senn thue5,seⁿ-thûe,生㿗,長癤,
senn ue,seⁿ-ue,鍟鍋,鍟鍋,
senn3 chheng5,sèⁿ-chhêng,性情,性情,
si bi2,si-bí,施米,施米,
si kue,si-kue,西瓜,西瓜,
si suann3,si-suàⁿ,絲線,絲線,
si thi2,si-thí,屍體,,
si ui5,si-ûi,施爲,辦法,
si ui7 su3 tshan,si-ūi-sù-tshan,尸位素餐,,
si2 gu5,sí-gû,死牛,死牛,
si2 kau2,sí-káu,死狗,死狗,
si3 chheng5,sì-chhêng,世情,通情達理,
si3 chinn,sì-chiⁿ,四肢,四肢,
si3 kan,sì-kan,世間,世界,
si3 kenn,sì-keⁿ,四更,四更,
si3 khui3,sì-khùi,四季,四季,
si3 pang,sì-pang,四方,四方,
si3 pang tshng5,sì-pang tshn̂g,四方床,方桌,
si3 pang tshng5,sì-pang tshn̂g,四方牀,方桌,
si3 suann3,sì-suàⁿ,四散,四處,
si3 thau5,sì-thâu,勢頭,勢力,
si3 tshu3,sì-tshù,四處,,
si5 cheh,sî-cheh,辭職,,
si5 cheng,sî-cheng,時鐘,時鐘,
si5 cheng thui7,sî-cheng-thūi,時鐘錘,時鐘錘,
si5 leng6,sî-lẽng,時令,時令,
si5 pie,sî-pie,時鏢,手錶,
si5 sin5,sî-sîn,時辰,時辰,
si5 tiou3,sî-tiòu,辭掉,辭掉,
si6 mih,sĩ-mih,是乜,是什麼,
si7 iu5,sī-iû,豉油,醬油,
si7 iu5 ke3,sī-iû-kè,豉油架,醬油架,
sia2 ji7,siá-jī,寫字,寫字,
sia2 ji7 thai5,siá-jī-thâi,寫字檯,,
sia2 ji7 tshng5,siá-jī-tshn̂g,寫字床,寫字桌,
sia2 ji7 tshng5,siá-jī-tshn̂g,寫字牀,寫字桌,
sia3 tsue6,sià-tsũe,赦罪,赦罪,
sia5 bun5,siâ-bûn,斜紋,斜紋,
sia5 go7 hun2,siâ-gō-hún,斜莪粉,西米,
sia5 go7 inn5,siâ-gō-îⁿ,斜莪圓,西米,
sia5 mak8 chiou2,siâ-ma̍k-chióu,斜目鳥,斜視眼,
sia5 sut8,siâ-su̍t,邪術,邪術,
sia6 chinn5,siã-chîⁿ,射箭,射箭,
siah poh8,siah-po̍h,錫薄,錫箔,
siah8 kuan6,sia̍h-kuãn,席捲,,
siang huan2,siang-huán,相反,相反,
siang khiok,siang-khiok,相剋,,
siang pang,siang-pang,相幫,相幫,
siang piet8,siang-pie̍t,相别,離別,
siang sek8 kai5 nang5,siang-se̍k--kâi-nâng,相熟嘅儂,相熟的人,
siang sek8 kai5 nang5,siang-se̍k--kâi-nâng,相熟嘅人,相熟的人,
siang sin3,siang-sìn,相信,相信,
siang tang5,siang-tâng,相同,,
siang tang5,siang-tâng,相同,相同,
siang teng2,siang-téng,相等,,
siang tshong,siang-tshong,相沖,,
siang5 chhi3,siâng-chhì,嘗試,,
siang6 chhiann2,siãng-chhiáⁿ,尙且,尙且,
siang6 ho2,siãng-hó,上好,最好,
siang6 ti3,siãng-tì,上帝,上帝,
siang6 tua7,siãng-tuā,上大,最大,
siann tiau7,siaⁿ-tiāu,聲調,,
siann3 hue6,siàⁿ-hũe,聖會,聖會,
siann3 sin5,siàⁿ-sîn,聖神,聖神,
siann3 tsur,siàⁿ-tsṳ,聖書,聖書,
siann5 gua7,siâⁿ-guā,城外,城外,
siann5 mng5,siâⁿ-mn̂g,城門,城門,
siau2,siáu,𤞚,狂,
siau2 kau2,siáu-káu,𤞚狗,狂犬,
siau2 thiu2,siáu-thiú,小丑,,
sie a3,sie-à,相詏,爭論,
sie chenn,sie-cheⁿ,相争,相争,
sie chenn,sie-cheⁿ,相爭,相爭,
sie chiap,sie-chiap,相接,連接,
sie chieh mng7,sie-chieh-mn̄g,相借問,打招呼,
sie chinn3,sie-chìⁿ,相擠,相擠,
sie hu6,sie-hũ,相輔,,
sie hu6,sie-hũ,相輔,相幫,
sie kinn3,sie-kìⁿ,相見,相見,
sie ko3,sie-kò,相告,相告,
sie lun5,sie-lûn,相輪,輪流,
sie menn7,sie-mēⁿ,相罵,吵架,
sie phah,sie-phah,相拍,打架,
sie phah,sie-phah,相打,打架,
sie su,sie-su,相輸,比賽,
sie sua3,sie-suà,相接,相接,
sie tang5,sie-tâng,相同,,
sie tang5,sie-tâng,相同,相同,
sie tau3,sie-tàu,相鬥,相鬥,
sie thai5,sie-thâi,相刣,打戰,
sie thoi3,sie-thòi,相代,相代,
sie tsuang6 tieh8,sie-tsuãng--tie̍h,相撞着,相撞着,
sie tui3,sie-tùi,相對,相對,
sie uann7,sie-uāⁿ,相喚,相喚,
sie2 bo7,sié-bō,小帽,小帽子,
sie2 khua2,sié-khuá,小可,細微,
sie2 khua2 sur7,sié-khuá-sṳ̄,小可事,小事,
sie2 nng5,sié-nn̂g,小郎,小叔子,
sie2 sit,sié-sit,消息,消息,
sieh8 liu5,sie̍h-liû,石榴,石榴,
sien hu5,sien-hû,仙瑚,珊瑚,
sien tan,sien-tan,仙丹,,
sien3 huang tiam2 hue2,sièn-huang-tiám-húe,煽風點火,,
sien3 min7 phang5,sièn mīn-phâng,搧面龐,,
sien5 u,siên-u,單于,,
sien6 tsok8,siẽn-tso̍k,撣族,,
sienn huang,sieⁿ-huang,傷風,感冒,
sienn hun5,sieⁿ-hûn,傷痕,傷疤,
sienn khau2,sieⁿ-kháu,傷口,傷口,
sienn nang5,sieⁿ-nâng,傷儂,傷人,
sienn nang5,sieⁿ-nâng,傷人,傷人,
sienn tieh8,sieⁿ--tie̍h,傷着,傷着,
sienn2 keh,siéⁿ-keh,賞格,通緝令,
sienn5 sienn5,siêⁿ-siêⁿ,常常,常常,
sienn6 chi2,siẽⁿ-chí,腎子,腎臟,
siet lip8,siet-li̍p,設立,設立,
siet tok8,siet-to̍k,褻讀,,
siet tshut,siet-tshut,設出,發明,
sih8 png2,si̍h-pńg,蝕本,虧本,
sih8 suh8,si̍h-su̍h,窸窣,窸窣,
sim kuann,sim-kuaⁿ,心肝,心,
sim kuann thau5,sim-kuaⁿ-thâu,心肝頭,胸膛,
sim nguan6,sim-nguãn,心願,,
sim senn3,sim-sèⁿ,心性,脾氣,
sim sur7,sim-sṳ̄,心事,心事,
sim tong5 tong5,sim-tông-tông,心憧憧,心神不定,
sim2 iang5,sím-iâng,瀋陽,,
sim2 mng7,sím-mn̄g,審問,審問,
sin bun6,sin-bũn,新聞,新聞,
sin bun6 tsua2,sin-bũn-tsuá,新聞紙,報紙,
sin chheng3,sin-chhèng,身穿,身穿,
sin hun7,sin-hūn,身分,體格,
sin ieh,sin-ieh,新約,新約,
sin nang5,sin-nâng,新儂,新人,
sin nang5,sin-nâng,新人,新人,
